Date,RELIANCE.BO,TCS.BO,HDFCBANK.BO,HINDUNILVR.BO,INFY.BO,KOTAKBANK.BO,ICICIBANK.BO,LT.BO,AXISBANK.BO,SBIN.BO,GOOGL,AAPL,AMZN,MSFT,NVDA,ADBE,NFLX,TSLA,ORCL,CSCO,Sensex
2021-07-02,2115.33447265625,3210.954833984375,1463.86669921875,2450.3720703125,1526.852783203125,1713.85693359375,631.2882690429688,1467.11279296875,749.5093383789062,416.4578552246094,121.51000213623047,125.37979125976562,167.3415069580078,251.83921813964844,177.95382690429688,541.260009765625,488.7699890136719,203.29666137695312,79.38691711425781,50.43132019042969,53054.76171875
2021-07-05,2135.8994140625,3207.092529296875,1478.053955078125,2460.120361328125,1538.25,1729.135009765625,638.5348510742188,1488.6370849609375,758.994873046875,424.4525451660156,122.44550323486328,128.46136474609375,169.19349670410156,253.79226684570312,179.88558959960938,556.9500122070312,499.8900146484375,205.89666748046875,79.11878204345703,49.878841400146484,52568.94140625
2021-07-06,2112.10546875,3149.932861328125,1516.9578857421875,2435.2080078125,1522.0794677734375,1752.2520751953125,641.39404296875,1486.0699462890625,757.4971923828125,421.4606628417969,121.41950225830078,127.63436126708984,169.156494140625,252.29818725585938,177.58692932128906,548.4600219726562,491.8999938964844,199.7866668701172,78.18030548095703,49.52894592285156,52386.19140625
2021-07-07,2096.408203125,3162.436279296875,1521.7034912109375,2442.051513671875,1523.3458251953125,1759.09228515625,644.450439453125,1496.0916748046875,761.4910888671875,424.30535888671875,120.77249908447266,128.13645935058594,170.7624969482422,251.34115600585938,177.80406188964844,543.3300170898438,492.4100036621094,201.6233367919922,73.81356048583984,49.23429870605469,52372.69140625
2021-07-08,2079.2705078125,3144.863525390625,1502.869384765625,2409.55712890625,1520.1312255859375,1730.283447265625,632.6686401367188,1481.8243408203125,753.3035278320312,416.31072998046875,121.74349975585938,129.7510986328125,174.46200561523438,254.77854919433594,186.25987243652344,551.3599853515625,498.3399963378906,205.53334045410156,74.27320098876953,48.92123794555664,52769.73046875
2021-07-09,2059.698974609375,3097.2138671875,1484.7769775390625,2412.068115234375,1522.322998046875,1717.701416015625,629.6615600585938,1480.2939453125,745.9147338867188,415.5259704589844,120.11100006103516,128.4416961669922,174.34500122070312,253.3430938720703,186.0751953125,565.5900268554688,500.7699890136719,207.77000427246094,72.99958038330078,47.9452018737793,52904.05078125
2021-07-12,2070.875732421875,3082.923583984375,1470.4412841796875,2407.341552734375,1507.90576171875,1730.283447265625,637.203857421875,1481.923095703125,752.5047607421875,419.3516540527344,121.8125,130.25320434570312,172.697998046875,256.468017578125,183.96372985839844,567.3499755859375,497.0,206.94332885742188,74.68498229980469,48.96727752685547,53158.8515625
2021-07-13,2085.87744140625,3078.0478515625,1484.4803466796875,2398.08544921875,1504.934814453125,1745.2620849609375,655.2462768554688,1494.2156982421875,769.628662109375,420.9701843261719,122.33049774169922,131.90721130371094,175.27200317382812,259.28045654296875,188.551025390625,575.739990234375,508.82000732421875,207.90333557128906,75.34574127197266,49.04092788696289,53140.05859375
2021-07-14,2072.415771484375,3103.103515625,1481.365966796875,2378.5888671875,1536.1070556640625,1746.210693359375,654.7532958984375,1524.7744140625,768.7799682617188,422.73590087890625,122.12699890136719,131.6315155029297,175.1909942626953,259.0460205078125,190.253173828125,574.22998046875,512.739990234375,218.85667419433594,74.79031372070312,48.58053970336914,52553.3984375
2021-07-15,2069.68359375,3091.179443359375,1503.264892578125,2375.536376953125,1539.4190673828125,1747.558837890625,657.9082641601562,1588.7056884765625,773.0234985351562,423.42254638671875,122.5,131.34605407714844,172.45399475097656,260.4327392578125,191.73318481445312,578.260009765625,518.0599975585938,226.60667419433594,74.44556427001953,48.59895706176758,52198.51171875
